"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"CGSSGT1";"Semilla de Girasol TRADICIONAL x 1 kg ";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $2.827,50 ";" $2.827,50 ";" $2.356,25 ";" $2.356,25 ";" $1.885,00 ";" $1.885,00 ";;
"CGSSGT20";"Semilla de Girasol TRADICIONAL x 20 kg ";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSÓN";20;20,00;" $50.460,00 ";" $2.523,00 ";" $42.050,00 ";" $2.102,50 ";" $33.640,00 ";" $1.682,00 ";;
"CGSSZAA1";"Semillas de Zapallo - AA x 1 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $15.300,00 ";" $15.300,00 ";" $12.750,00 ";" $12.750,00 ";" $10.200,00 ";" $10.200,00 ";;
"CGSSZAA5";"Semillas de Zapallo - AA x 5 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";5;5,00;" $73.312,50 ";" $14.662,50 ";" $61.093,75 ";" $12.218,75 ";" $48.875,00 ";" $9.775,00 ";;
"CGSAI1";"Avena instantanea x 1 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $1.852,50 ";" $1.852,50 ";" $1.543,75 ";" $1.543,75 ";" $1.235,00 ";" $1.235,00 ";;
"CGSAI30";"Avena instantanea x 30 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSÓN";30;30,00;" $51.300,00 ";" $1.710,00 ";" $42.750,00 ";" $1.425,00 ";" $34.200,00 ";" $1.140,00 ";;
"CGSAAO05U";"Avena arrollada orgánica ""CAMPO CLARO"" x 500 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,50;" $1.876,61 ";" $1.876,61 ";" $1.563,84 ";" $1.563,84 ";" $1.251,07 ";" $1.251,07 ";;
"CGSAAO05C";"Avena arrollada orgánica ""CAMPO CLARO"" x 500 Grs. CAJA X 10 u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";10;5,00;" $18.015,47 ";" $1.801,55 ";" $15.012,89 ";" $1.501,29 ";" $12.010,31 ";" $1.201,03 ";;
"CGSAAO4";"Avena arrollada orgánica ""CAMPO CLARO"" x 4 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";4;4,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAAO25";"Avena arrollada orgánica ""CAMPO CLARO"" x 25 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSA";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSPIO05U";"Polenta Inst. ""DEL CAMPO"" - Orgánica SIN TACC - u. x 500 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,50;" $1.150,80 ";" $1.150,80 ";" $959,00 ";" $959,00 ";" $767,20 ";" $767,20 ";;
"CGSPIO05P";"Polenta Inst. ""DEL CAMPO"" - Orgánica SIN TACC - Pack x 20 u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"PACK";20;10,00;" $21.336,00 ";" $1.066,80 ";" $17.780,00 ";" $889,00 ";" $14.224,00 ";" $711,20 ";;
"HCC11";"Harina Integral Pan ""CAMPO CLARO"" - x 1 Kg.";"H A R I N A S";"UNIDAD";1;1,00;" $2.169,42 ";" $2.169,42 ";" $1.807,85 ";" $1.807,85 ";" $1.446,28 ";" $1.446,28 ";;
"HCC10";"Harina Integral Pan ""CAMPO CLARO"" - x 1 Kg. CAJA x 10 u.";"H A R I N A S";"CAJA";10;10,00;" $20.826,45 ";" $2.082,64 ";" $17.355,37 ";" $1.735,54 ";" $13.884,30 ";" $1.388,43 ";;
